iter	RMSE
0	180452.8281
1	170911.4741
2	162299.0889
3	154720.282
4	147967.1243
5	142075.5886
6	136698.1963
7	131968.3082
8	127856.2262
9	124187.1038
10	120938.0351
11	117737.6913
12	115210.197
13	112917.6966
14	110946.581
15	108952.4085
16	107198.6908
17	105755.104
18	104466.7085
19	103144.8864
20	102132.8481
21	101114.475
22	100215.2353
23	99150.03073
24	98393.25552
25	97572.86689
26	96776.64605
27	96092.01835
28	95454.46829
29	94924.16766
30	94278.30263
31	93736.7369
32	93268.1796
33	92913.02546
34	92626.05292
35	92266.07609
36	91907.33233
37	91489.53354
38	91179.59024
39	90916.60613
40	90641.47683
41	90357.07969
42	90065.40115
43	89734.1932
44	89546.85524
45	89300.71123
46	89004.57812
47	88735.63176
48	88470.54865
49	88291.27983
50	88117.98162
51	87846.37823
52	87618.67207
53	87437.82854
54	87271.68071
55	87100.07065
56	86885.54805
57	86726.38428
58	86627.26248
59	86498.77305
60	86355.73837
61	86186.47253
62	86013.65817
63	85867.62879
64	85791.82602
65	85567.98883
66	85436.59627
67	85273.86584
68	85179.9321
69	85093.15758
70	85005.83191
71	84887.59863
72	84751.13998
73	84554.76521
74	84367.18347
75	84242.6304
76	84032.64859
77	83904.6796
78	83760.47738
79	83575.85591
80	83487.57914
81	83263.22263
82	83124.5218
83	82957.16954
84	82795.96979
85	82662.68493
86	82513.49669
87	82411.97697
88	82325.3493
89	82189.11397
90	82079.82436
91	81934.29574
92	81855.75864
93	81794.33573
94	81653.47456
95	81547.8852
96	81457.71208
97	81302.12198
98	81182.6994
99	81084.09588
100	80939.34244
101	80862.1943
102	80792.75632
103	80734.73184
104	80537.67734
105	80466.63021
106	80347.56048
107	80238.73002
108	80134.41062
109	80036.7722
110	79955.89865
111	79799.24374
112	79740.58112
113	79574.69275
114	79481.51338
115	79416.53492
116	79300.55779
117	79253.31355
118	79133.30664
119	79048.97894
120	78938.38243
121	78859.40251
122	78801.82596
123	78719.13699
124	78638.1577
125	78566.43669
126	78467.64013
127	78411.78134
128	78279.63193
129	78193.27941
130	78124.43313
131	78012.52823
132	77891.72948
133	77811.92853
134	77722.57396
135	77647.01012
136	77559.86078
137	77479.71511
138	77406.36734
139	77352.12553
140	77288.88337
141	77173.34013
142	77098.57544
143	77021.53614
144	76937.26052
145	76867.15057
146	76807.87035
147	76717.96552
148	76653.16922
149	76599.4516
150	76536.38226
151	76443.59802
152	76370.95591
153	76287.58781
154	76226.34303
155	76168.31105
156	76091.74934
157	76008.59898
158	75956.61972
159	75850.67362
160	75764.73651
161	75707.16359
162	75652.61106
163	75586.06944
164	75543.27699
165	75473.71527
166	75406.07686
167	75342.20419
168	75261.60204
169	75195.80779
170	75117.50062
171	74995.57773
172	74944.84732
173	74867.29101
174	74795.22732
175	74732.37382
176	74675.20572
177	74607.81745
178	74575.57183
179	74524.91807
180	74446.47593
181	74401.49042
182	74334.90284
183	74268.82209
184	74206.11303
185	74154.99475
186	74072.42981
187	74006.72078
188	73949.52363
189	73881.58001
190	73814.1601
191	73747.18827
192	73657.44908
193	73600.35639
194	73534.84628
195	73457.76518
196	73409.39837
197	73347.03368
198	73279.48053
199	73225.40042
