iter	Passed	Remaining
0	91	91507
1	146	73270
2	187	62404
3	227	56753
4	263	52341
5	303	50242
6	341	48512
7	379	47034
8	416	45911
9	451	44715
10	501	45088
11	552	45468
12	588	44712
13	624	43962
14	661	43438
15	697	42869
16	731	42298
17	764	41721
18	812	41926
19	850	41672
20	886	41336
21	920	40928
22	955	40587
23	991	40323
24	1026	40043
25	1062	39817
26	1098	39575
27	1133	39346
28	1167	39099
29	1206	38996
30	1242	38829
31	1279	38707
32	1321	38715
33	1360	38653
34	1396	38498
35	1439	38547
36	1480	38540
37	1516	38402
38	1553	38291
39	1591	38203
40	1628	38093
41	1665	37991
42	1701	37863
43	1739	37787
44	1775	37670
45	1816	37672
46	1854	37595
47	1890	37503
48	1928	37424
49	1964	37326
50	1999	37202
51	2037	37138
52	2072	37030
53	2108	36932
54	2145	36861
55	2181	36776
56	2215	36653
57	2250	36546
58	2290	36533
59	2329	36492
60	2366	36430
61	2411	36477
62	2448	36414
63	2486	36360
64	2522	36288
65	2559	36215
66	2595	36137
67	2632	36080
68	2668	36004
69	2703	35921
70	2739	35848
71	2778	35808
72	2820	35820
73	2866	35867
74	2905	35831
75	2939	35734
76	2975	35665
77	3013	35625
78	3048	35534
79	3085	35480
80	3121	35420
81	3159	35366
82	3197	35323
83	3234	35269
84	3269	35200
85	3310	35180
86	3346	35119
87	3383	35066
88	3415	34964
89	3452	34906
90	3490	34865
91	3525	34797
92	3562	34745
93	3596	34665
94	3632	34603
95	3666	34525
96	3702	34463
97	3737	34401
98	3774	34355
99	3812	34315
100	3845	34231
101	3899	34330
102	3942	34334
103	3980	34294
104	4015	34231
105	4052	34174
106	4088	34118
107	4124	34066
108	4163	34031
109	4197	33958
110	4231	33889
111	4267	33833
112	4308	33821
113	4345	33772
114	4382	33729
115	4420	33685
116	4458	33645
117	4496	33607
118	4532	33557
119	4569	33507
120	4611	33498
121	4647	33450
122	4684	33400
123	4721	33356
124	4759	33318
125	4802	33310
126	4842	33286
127	4876	33222
128	4915	33186
129	4950	33130
130	4987	33082
131	5022	33025
132	5058	32974
133	5093	32920
134	5129	32869
135	5167	32827
136	5202	32769
137	5238	32723
138	5280	32710
139	5321	32690
140	5358	32646
141	5394	32594
142	5430	32542
143	5470	32518
144	5506	32468
145	5543	32426
146	5580	32383
147	5616	32335
148	5654	32292
149	5691	32250
150	5727	32200
151	5761	32142
152	5803	32127
153	5840	32084
154	5876	32038
155	5913	31995
156	5952	31959
157	5987	31906
158	6023	31860
159	6059	31813
160	6096	31771
161	6133	31726
162	6168	31676
163	6204	31627
164	6241	31586
165	6280	31555
166	6317	31513
167	6354	31471
168	6391	31429
169	6428	31387
170	6467	31354
171	6506	31323
172	6543	31278
173	6579	31232
174	6614	31183
175	6652	31145
176	6687	31095
177	6722	31044
178	6758	30998
179	6798	30969
180	6836	30932
181	6873	30891
182	6908	30844
183	6945	30803
184	6981	30756
185	7018	30713
186	7053	30665
187	7088	30614
188	7124	30569
189	7162	30533
190	7198	30490
191	7234	30445
192	7277	30430
193	7317	30400
194	7354	30359
195	7389	30310
196	7422	30255
197	7462	30226
198	7499	30187
199	7536	30144
200	7573	30104
201	7630	30142
202	7671	30118
203	7721	30130
204	7762	30103
205	7805	30086
206	7857	30099
207	7900	30082
208	7939	30046
209	7977	30009
210	8014	29969
211	8051	29925
212	8088	29884
213	8125	29842
214	8160	29794
215	8194	29744
216	8231	29700
217	8274	29681
218	8330	29707
219	8377	29702
220	8433	29727
221	8482	29727
222	8534	29737
223	8577	29715
224	8615	29676
225	8653	29637
226	8689	29589
227	8725	29545
228	8765	29512
229	8804	29474
230	8840	29428
231	8880	29397
232	8918	29357
233	8956	29318
234	8993	29276
235	9030	29234
236	9069	29198
237	9102	29144
238	9140	29103
239	9175	29057
240	9212	29014
241	9250	28974
242	9291	28945
243	9328	28902
244	9364	28856
245	9401	28816
246	9439	28775
247	9477	28737
248	9511	28688
249	9547	28642
250	9584	28600
251	9619	28554
252	9654	28506
253	9689	28458
254	9726	28416
